seed,family,noise,w_u,w_g,w_d,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy,method
6,waviness,0.003,0.4,0.2,0.4,0.008796626370105289,0.006551231504122799,0.9776,0.2553191489361702,35,12,2,576,0.0752,0.7446808510638298,0.9459459459459459,0.0034602076124567475,0.8706103217256864,evidence_tuned_frozen
6,waviness,0.008,0.4,0.2,0.4,0.01097002613580648,0.008568362199100406,0.9536,0.48936170212765956,24,23,6,572,0.0752,0.5106382978723404,0.8,0.010380622837370242,0.750128837517485,evidence_tuned_frozen
6,local_defect,0.003,0.4,0.2,0.4,0.003914039049803249,0.0029488334437752337,0.9952,0.06666666666666667,14,1,2,608,0.024,0.9333333333333333,0.875,0.003278688524590164,0.9650273224043716,evidence_tuned_frozen
6,local_defect,0.008,0.4,0.2,0.4,0.006959196712162402,0.005412935017566832,0.992,0.2,12,3,2,608,0.024,0.8,0.8571428571428571,0.003278688524590164,0.898360655737705,evidence_tuned_frozen
6,mixed,0.003,0.4,0.2,0.4,0.006128635220737235,0.004274723785377079,0.9872,0.2608695652173913,17,6,2,600,0.0368,0.7391304347826086,0.8947368421052632,0.0033222591362126247,0.8679040878231981,evidence_tuned_frozen
6,mixed,0.008,0.4,0.2,0.4,0.007831443490781832,0.006199284372318428,0.9872,0.17391304347826086,19,4,4,598,0.0368,0.8260869565217391,0.8260869565217391,0.006644518272425249,0.9097212191246569,evidence_tuned_frozen
7,smooth,0.003,0.4,0.2,0.4,0.003658241766674819,0.002717682632978991,0.9824,0.16666666666666666,35,7,4,579,0.0672,0.8333333333333334,0.8974358974358975,0.00686106346483705,0.9132361349342482,evidence_tuned_frozen
7,smooth,0.008,0.4,0.2,0.4,0.006803826237260628,0.005330139864677895,0.968,0.19047619047619047,34,8,12,571,0.0672,0.8095238095238095,0.7391304347826086,0.02058319039451115,0.8944703095646491,evidence_tuned_frozen
7,waviness,0.003,0.4,0.2,0.4,0.011643676212390732,0.008366310462565177,0.9632,0.27941176470588236,49,19,4,553,0.1088,0.7205882352941176,0.9245283018867925,0.00718132854578097,0.8567034533741683,evidence_tuned_frozen
7,waviness,0.008,0.4,0.2,0.4,0.013754875421962832,0.010891691311676038,0.9424,0.4264705882352941,39,29,7,550,0.1088,0.5735294117647058,0.8478260869565217,0.012567324955116697,0.7804810434047946,evidence_tuned_frozen
7,local_defect,0.003,0.4,0.2,0.4,0.0029896694164240818,0.002345762656782293,0.9936,0.0,11,0,4,610,0.0176,1.0,0.7333333333333333,0.006514657980456026,0.996742671009772,evidence_tuned_frozen
7,local_defect,0.008,0.4,0.2,0.4,0.006487896790194217,0.005148886736668566,0.9888,0.0,11,0,7,607,0.0176,1.0,0.6111111111111112,0.011400651465798045,0.994299674267101,evidence_tuned_frozen
7,mixed,0.003,0.4,0.2,0.4,0.006309591721579299,0.004742728137783368,0.9856,0.18181818181818182,27,6,3,589,0.0528,0.8181818181818182,0.9,0.005067567567567568,0.9065571253071254,evidence_tuned_frozen
7,mixed,0.008,0.4,0.2,0.4,0.00797192928199443,0.00613577937152602,0.9776,0.30303030303030304,23,10,4,588,0.0528,0.696969696969697,0.8518518518518519,0.006756756756756757,0.8451064701064701,evidence_tuned_frozen
8,smooth,0.003,0.4,0.2,0.4,0.002736584174825567,0.0021529212786936336,0.992,0.18181818181818182,9,2,3,611,0.0176,0.8181818181818182,0.75,0.004885993485342019,0.906647912348238,evidence_tuned_frozen
8,smooth,0.008,0.4,0.2,0.4,0.0059618065344668745,0.0045909156373547585,0.9856,0.09090909090909091,10,1,8,606,0.0176,0.9090909090909091,0.5555555555555556,0.013029315960912053,0.9480307965649986,evidence_tuned_frozen
8,waviness,0.003,0.4,0.2,0.4,0.011747663405433253,0.008795362948047438,0.9568,0.41935483870967744,36,26,1,562,0.0992,0.5806451612903226,0.972972972972973,0.0017761989342806395,0.789434481178021,evidence_tuned_frozen
8,waviness,0.008,0.4,0.2,0.4,0.013763754872782289,0.010362910042519678,0.936,0.5,31,31,9,554,0.0992,0.5,0.775,0.015985790408525755,0.7420071047957371,evidence_tuned_frozen
