seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
2,waviness,0.003,uncertainty_only,0.1,0.00887413111614023,0.0063450780500592914,0.9408,0.6296296296296297,20,34,3,568,0.0864,0.37037037037037035,0.8695652173913043,0.005253940455341506,0.6825582149575145
2,waviness,0.003,two_sided_straddle,0.1,0.009309018469203189,0.006806443242789419,0.9408,0.6111111111111112,21,33,4,567,0.0864,0.3888888888888889,0.84,0.0070052539404553416,0.6909418174742168
2,waviness,0.003,evidence_gated,0.1,0.011574785984949647,0.008403667057786363,0.9472,0.5370370370370371,25,29,4,567,0.0864,0.46296296296296297,0.8620689655172413,0.0070052539404553416,0.7279788545112538
2,waviness,0.008,uncertainty_only,0.1,0.0097417057301008,0.007660249645259366,0.9376,0.6296296296296297,20,34,5,566,0.0864,0.37037037037037035,0.8,0.008756567425569177,0.6808069014724005
2,waviness,0.008,two_sided_straddle,0.1,0.012429887928277521,0.009739803172464352,0.936,0.5925925925925926,22,32,8,563,0.0864,0.4074074074074074,0.7333333333333333,0.014010507880910683,0.6966984497632484
2,waviness,0.008,evidence_gated,0.1,0.014380834907686822,0.01105595865672602,0.9392,0.46296296296296297,29,25,13,558,0.0864,0.5370370370370371,0.6904761904761905,0.02276707530647986,0.7571349808652786
2,local_defect,0.003,uncertainty_only,0.1,0.004485941176991557,0.002333109348022224,0.9872,0.875,1,7,1,616,0.0128,0.125,0.5,0.0016207455429497568,0.5616896272285251
2,local_defect,0.003,two_sided_straddle,0.1,0.004198289522629684,0.0025517074475111534,0.992,0.5,4,4,1,616,0.0128,0.5,0.8,0.0016207455429497568,0.7491896272285251
2,local_defect,0.003,evidence_gated,0.1,0.0028331390619994604,0.002051537664921964,0.9984,0.0,8,0,1,616,0.0128,1.0,0.8888888888888888,0.0016207455429497568,0.9991896272285251
2,local_defect,0.008,uncertainty_only,0.1,0.007310320617766988,0.0054696006850246896,0.9872,1.0,0,8,0,617,0.0128,0.0,0.0,0.0,0.5
2,local_defect,0.008,two_sided_straddle,0.1,0.007426443514420794,0.005424950204389344,0.9872,1.0,0,8,0,617,0.0128,0.0,0.0,0.0,0.5
2,local_defect,0.008,evidence_gated,0.1,0.006159653143478097,0.0048910780206596486,0.9984,0.0,8,0,1,616,0.0128,1.0,0.8888888888888888,0.0016207455429497568,0.9991896272285251
2,mixed,0.003,uncertainty_only,0.1,0.0041340920899333436,0.0031093558225526816,0.9872,0.5384615384615384,6,7,1,611,0.0208,0.46153846153846156,0.8571428571428571,0.0016339869281045752,0.7299522373051786
2,mixed,0.003,two_sided_straddle,0.1,0.004156772419688928,0.003213508392322303,0.9936,0.07692307692307693,12,1,3,609,0.0208,0.9230769230769231,0.8,0.004901960784313725,0.9590874811463047
2,mixed,0.003,evidence_gated,0.1,0.005248709730752296,0.00401388639123316,0.9952,0.07692307692307693,12,1,2,610,0.0208,0.9230769230769231,0.8571428571428571,0.0032679738562091504,0.959904474610357
2,mixed,0.008,uncertainty_only,0.1,0.00660462211891441,0.0053594794360027325,0.984,0.23076923076923078,10,3,7,605,0.0208,0.7692307692307693,0.5882352941176471,0.011437908496732025,0.8788964303670186
