seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
4,mixed,0.003,evidence_gated,0.1,0.007099970991172384,0.005113745527414626,0.9936,0.06060606060606061,31,2,2,590,0.0528,0.9393939393939394,0.9393939393939394,0.0033783783783783786,0.9680077805077805
4,mixed,0.008,uncertainty_only,0.1,0.008015050670478752,0.0063431184041906445,0.976,0.21212121212121213,26,7,8,584,0.0528,0.7878787878787878,0.7647058823529411,0.013513513513513514,0.8871826371826372
4,mixed,0.008,two_sided_straddle,0.1,0.008319685476052888,0.006758038317967907,0.9712,0.15151515151515152,28,5,13,579,0.0528,0.8484848484848485,0.6829268292682927,0.02195945945945946,0.9132626945126945
4,mixed,0.008,evidence_gated,0.1,0.009773199622988825,0.007441444433430742,0.9808,0.12121212121212122,29,4,8,584,0.0528,0.8787878787878788,0.7837837837837838,0.013513513513513514,0.9326371826371826
5,smooth,0.003,uncertainty_only,0.1,0.002863503016426843,0.002261885228059954,0.9824,0.1694915254237288,49,10,1,565,0.0944,0.8305084745762712,0.98,0.0017667844522968198,0.9143708450619872
5,smooth,0.003,two_sided_straddle,0.1,0.0029015056631285616,0.0023414034529878566,0.9824,0.11864406779661017,52,7,4,562,0.0944,0.8813559322033898,0.9285714285714286,0.007067137809187279,0.9371443971971012
5,smooth,0.003,evidence_gated,0.1,0.004769443700548448,0.0035641441602790322,0.9888,0.0847457627118644,54,5,2,564,0.0944,0.9152542372881356,0.9642857142857143,0.0035335689045936395,0.955860334191771
5,smooth,0.008,uncertainty_only,0.1,0.006304339502922603,0.004980634105095459,0.9328,0.3050847457627119,41,18,24,542,0.0944,0.6949152542372882,0.6307692307692307,0.04240282685512368,0.8262562136910823
5,smooth,0.008,two_sided_straddle,0.1,0.0066531363555681145,0.005312823445968592,0.9616,0.11864406779661017,52,7,17,549,0.0944,0.8813559322033898,0.7536231884057971,0.030035335689045935,0.925660298257172
5,smooth,0.008,evidence_gated,0.1,0.008239213514247772,0.006719158526428501,0.9712,0.15254237288135594,50,9,9,557,0.0944,0.847457627118644,0.847457627118644,0.015901060070671377,0.9157782835239863
5,waviness,0.003,uncertainty_only,0.1,0.00697784498680744,0.005183350119055085,0.9504,0.6363636363636364,16,28,3,578,0.0704,0.36363636363636365,0.8421052631578947,0.0051635111876075735,0.679236426224378
5,waviness,0.003,two_sided_straddle,0.1,0.011487568928974764,0.007798906138824569,0.968,0.4318181818181818,25,19,1,580,0.0704,0.5681818181818182,0.9615384615384616,0.0017211703958691911,0.7832303238929745
5,waviness,0.003,evidence_gated,0.1,0.012475311879389987,0.008940590292696506,0.9568,0.4772727272727273,23,21,6,575,0.0704,0.5227272727272727,0.7931034482758621,0.010327022375215147,0.7562001251760289
5,waviness,0.008,uncertainty_only,0.1,0.00860549030958849,0.006711247302358804,0.9456,0.7045454545454546,13,31,3,578,0.0704,0.29545454545454547,0.8125,0.0051635111876075735,0.6451455171334689
5,waviness,0.008,two_sided_straddle,0.1,0.01294958351663425,0.00980243412262924,0.9536,0.5909090909090909,18,26,3,578,0.0704,0.4090909090909091,0.8571428571428571,0.0051635111876075735,0.7019636989516508
5,waviness,0.008,evidence_gated,0.1,0.011514303162143339,0.009363970794508382,0.944,0.6363636363636364,16,28,7,574,0.0704,0.36363636363636365,0.6956521739130435,0.012048192771084338,0.6757940854326396
5,local_defect,0.003,uncertainty_only,0.1,0.004716298122443876,0.0024687880740238673,0.9728,0.23076923076923078,30,9,8,578,0.0624,0.7692307692307693,0.7894736842105263,0.013651877133105802,0.8777894460488318
5,local_defect,0.003,two_sided_straddle,0.1,0.004513863629454686,0.0030728032537598207,0.9808,0.15384615384615385,33,6,6,580,0.0624,0.8461538461538461,0.8461538461538461,0.010238907849829351,0.9179574691520084
5,local_defect,0.003,evidence_gated,0.1,0.0033041416756750316,0.002540989848218795,0.9776,0.2564102564102564,29,10,4,582,0.0624,0.7435897435897436,0.8787878787878788,0.006825938566552901,0.8683819025115953
